Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,Selection_Markers,Mod_Method,Mod_Direction
3699528.pdf,10.1371/journal.pone.0068161,Oryza sativa,RNAi-mediated silencing using the Oleosin18 promoter,Low phytate content,3.85-fold down-regulation in IPK1 transcripts; 69% seed phytic acid content; 50% seed phytic acid content | Phytic acid levels decreased by 3.85-fold; Inorganic phosphate increased; Iron content increased by 1.8-fold,Oleosin18,"Seed Property, Nutrient Utilization, Mineral Content",IPK1,,RNAi,Knockdown/Out
3716894.pdf,10.1186/1471-2229-13-99,Nicotiana attenuata,Agrobacterium-mediated transformation with T-DNA insertions,Progressive promoter methylation leading to transgene silencing,77% absolute increase in methylation within 45 days; 84.5% CG methylation in T3; 83.3% CHG methylation in T3; 25.3% CHH methylation in T3,35S promoter,"Gene Expression, Disease Resistance, Plant Transformation",35S promoter,,Agrobacterium,Modification
3716894.pdf,10.1186/1471-2229-13-99,Nicotiana attenuata,RNA-directed DNA methylation (RdDM),Progressive promoter methylation leading to transgene silencing,77% absolute increase in methylation within 45 days; 84.5% CG methylation in T3; 83.3% CHG methylation in T3; 25.3% CHH methylation in T3,35S promoter,"Gene Expression, Disease Resistance, Plant Transformation",35S promoter,,Unknown,Modification
3716973.pdf,10.1186/1471-2164-14-460,Ipomoea batatas,Overexpression,Increased storage root formation,Expression increased by 60-fold; Storage root yield increased by 4-8 per plant | Expression increased by 1466.5-fold; Starch levels increased by 1 mg g fw⁻¹ | Expression increased by 100-fold; Starch biosynthesis up-regulated | Down-regulation of lignin biosynthesis genes | Up-regulation of starch biosynthesis genes | Up-regulation of KNOX genes,,"Above-Ground Biomass Property, Storage, Fruit Property, Fruit Yield",Ibkn2,,Unknown,Overexpression
3716973.pdf,10.1186/1471-2164-14-460,Ipomoea batatas,Overexpression,Increased storage root formation,Expression increased by 60-fold; Storage root yield increased by 4-8 per plant | Expression increased by 1466.5-fold; Starch levels increased by 1 mg g fw⁻¹ | Expression increased by 100-fold; Starch biosynthesis up-regulated | Down-regulation of lignin biosynthesis genes | Up-regulation of starch biosynthesis genes | Up-regulation of KNOX genes,,"Storage, Nutrient Utilization, Fruit Property, Fruit Yield",Ibkn2,,Unknown,Overexpression
3720949.pdf,10.1371/journal.pone.0070050,Nicotiana tabacum,Constitutive overexpression,"Increased auxin efflux, altered cell size",Cell length increased by ~30%; auxin efflux measured via [3H] NAA accumulation,35S promoter,"Auxin Transport, Cell Property",ABP1,,Unknown,Overexpression
3725402.pdf,10.3389/fpls.2013.00260,Datura stramonium,Site-directed mutagenesis,Enzyme activity changes,vmax=24 ± 6.12 pkat mg⁻¹; kcat=0.04% of wild type,,"Gene Expression, Biosensing",PMT,,Unknown,Modification
3725402.pdf,10.3389/fpls.2013.00260,Datura stramonium,Homology modeling and mutagenesis,Enzyme activity changes,vmax=24 ± 6.12 pkat mg⁻¹; kcat=0.04% of wild type,,"Gene Expression, Biosensing",PMT,,Unknown,Modification
3741686.pdf,10.1093/jxb/ert133,Arabidopsis thaliana,Agrobacterium-mediated overexpression,Enhanced drought and salt tolerance,Germination rate under stress: 70%; Root length: 3.0 cm,CaMV35S,"Drought Tolerance, Salt Resistance",TaPI4KIIγ,,Agrobacterium,Overexpression
3741686.pdf,10.1093/jxb/ert133,Arabidopsis thaliana,Overexpression via 35S promoter,Enhanced drought and salt tolerance,Germination rate under stress: 70%; Root length: 3.0 cm,CaMV35S,"Drought Tolerance, Salt Resistance",TaPI4KIIγ,,Unknown,Overexpression
3745738.pdf,10.1093/jxb/ert216,Arabidopsis thaliana,T-DNA insertional knockout,Stunted growth under short-day photoperiods,Rosette dry weight: 16.0 ± 1.9 mg (Col-0); 35% of Col-0 (ntrc),,"Starch Metabolism, Ros Metabolism, Plant Growth Regulation",NTRC,,Unknown,Knockdown/Out
3751900.pdf,10.1186/1471-2229-13-117,Arabidopsis thaliana,RNA interference (RNAi),"Severe inhibition and defects in growth during vegetative and reproductive stages, sterility, chromosome fragmentation, loss of sister chromatid cohesion during meiosis",Reduced cohesin association with chromatin; Defects in meiotic chromosome organization; Loss of centromeric pairing and cohesion | Growth inhibition: severe; Defects in meiosis: severe,AtCTF7 promoter,"Gene Expression, Plant Transformation, Above-Ground Biomass Yield, Seed Property, Seed Yield",AtCTF7,,RNAi,Knockdown/Out
3751900.pdf,10.1186/1471-2229-13-117,Arabidopsis thaliana,RNA interference (RNAi),"Severe inhibition and defects in growth during vegetative and reproductive stages, sterility, chromosome fragmentation, loss of sister chromatid cohesion during meiosis",Reduced cohesin association with chromatin; Defects in meiotic chromosome organization; Loss of centromeric pairing and cohesion | Growth inhibition: severe; Defects in meiosis: severe,AtCTF7 promoter,"Gene Expression, Plant Transformation",AtCTF7,,RNAi,Knockdown/Out
3782649.pdf,10.1007/s00122-013-2161-2,Flax,EMS-induced point mutation,"Fatty acid composition, oil content, iodine value",Palmitic acid: 6%; Stearic acid: 4.4%; Oleic acid: 26-28%; Linoleic acid: 21.45%; Linolenic acid: 58.08%; Oil content: 44.14-48.46%; Iodine value: 152.15-190.68%,,"Fatty Acid Composition, Oil Content, Iodine Value, Seed Oil Quality, Lipid Metabolism","sad1, sad2, fad2a, fad2b, fad3a, fad3b",,Unknown,Mutation
3782649.pdf,10.1007/s00122-013-2161-2,Flax,Allelic variation,"Fatty acid composition, oil content, iodine value",Palmitic acid: 6%; Stearic acid: 4.4%; Oleic acid: 26-28%; Linoleic acid: 21.45%; Linolenic acid: 58.08%; Oil content: 44.14-48.46%; Iodine value: 152.15-190.68%,,"Fatty Acid Composition, Oil Content, Iodine Value, Seed Oil Quality, Lipid Metabolism","sad1, sad2, fad2a, fad2b, fad3a, fad3b",,Unknown,Modification
3788151.pdf,10.4142/jvs.2013.14.3.263,Nicotiana tabacum,Agrobacterium tumefaciens-mediated transformation using strain EHA105,Expression of recombinant antigenic proteins,0.6 mg VT2e-B per gram of seeds; 0.3% of total soluble protein | PCR product size 519 bp; Western blot confirmed expression | PCR product size 270 bp; Western blot confirmed expression,GLOB,"Gene Expression, Plant Transformation",F18 adhesive fimbriae,,Agrobacterium,Modification
3788151.pdf,10.4142/jvs.2013.14.3.263,Nicotiana tabacum,Agrobacterium tumefaciens-mediated transformation using strain EHA105,Expression of recombinant antigenic proteins,0.6 mg VT2e-B per gram of seeds; 0.3% of total soluble protein | PCR product size 519 bp; Western blot confirmed expression | PCR product size 270 bp; Western blot confirmed expression,GLOB,"Disease Resistance, Edible Vaccines",F18 adhesive fimbriae,,Agrobacterium,Modification
3797462.pdf,10.3389/fpls.2013.00390,Nicotiana tabacum,Overexpression via transplastomic transformation,"Increased photosynthetic activity, improved stress tolerance",Chlorophyll a: 30.9 ± 1.3 μg cm⁻²; Chlorophyll b: 12.0 ± 0.8 μg cm⁻²,psbA regulatory sequence,"Photosynthesis, Stress Tolerance","Trx f, Trx m",,Unknown,Overexpression
3798461.pdf,10.1371/journal.ppat.1003673,Mhv-68,Multisite-directed mutagenesis,Deficiency in expansion of latent infection,p-value < 0.0001 latency deficit at 14 dpi,,"Disease Resistance, Latency Establishment",mLANA,,Unknown,Modification
3798461.pdf,10.1371/journal.ppat.1003673,Mhv-68,CRISPR/Cas9 knockout,Deficiency in expansion of latent infection,p-value < 0.0001 latency deficit at 14 dpi,,"Disease Resistance, Latency Establishment",mLANA,,CRISPR/Cas9,Knockdown/Out
3804491.pdf,10.1371/journal.pone.0076954,Glycine max,siRNA-mediated gene silencing,Down-regulation of CHS7 and CHS8 target mRNAs,Primary CHS siRNAs: 22-nt; Secondary CHS siRNAs: 21-nt,,"Gene Expression, Disease Resistance",CHS1-3-4,,Unknown,Knockdown/Out
3814184.pdf,10.1093/pcp/pct127,Oryza sativa,RNA interference (RNAi),Retarded shoot growth,Cytokinin concentration in xylem sap decreased; shoot fresh weight decreased | Cytokinin concentration in roots decreased | Root fresh weight unchanged | Cytokinin concentration in shoots decreased | Root cytokinin concentration increased by 20% after ammonium application; Shoot cytokinin concentration increased by 15% after ammonium application | Root cytokinin concentration increased by 18% after ammonium application; Shoot cytokinin concentration increased by 12% after ammonium application | Root cytokinin concentration increased by 16% after ammonium application; Shoot cytokinin concentration increased by 10% after ammonium application,,"Gene Expression, Above-Ground Biomass Yield",OsIPT4,,RNAi,Knockdown/Out
3814184.pdf,10.1093/pcp/pct127,Oryza sativa,RNA interference (RNAi),Retarded shoot growth,Cytokinin concentration in xylem sap decreased; shoot fresh weight decreased | Cytokinin concentration in roots decreased | Root fresh weight unchanged | Cytokinin concentration in shoots decreased | Root cytokinin concentration increased by 20% after ammonium application; Shoot cytokinin concentration increased by 15% after ammonium application | Root cytokinin concentration increased by 18% after ammonium application; Shoot cytokinin concentration increased by 12% after ammonium application | Root cytokinin concentration increased by 16% after ammonium application; Shoot cytokinin concentration increased by 10% after ammonium application,,"Gene Expression, Above-Ground Biomass Property",OsIPT4,,RNAi,Knockdown/Out
3815067.pdf,10.1534/g3.113.008417,Sorghum bicolor,EMS-induced point mutation,Grain tannin presence,Association peak at Tannin1 locus; SNP rank and significance,,"Disease Resistance, Biosensing",Tannin1,,Unknown,Mutation
3815067.pdf,10.1534/g3.113.008417,Sorghum bicolor,Loss-of-function allele,Grain tannin presence,Association peak at Tannin1 locus; SNP rank and significance,,"Disease Resistance, Biosensing",Tannin1,,Unknown,Modification
3819737.pdf,10.1186/1471-2229-13-169,Arabidopsis thaliana,T-DNA insertional knockout,Salt intolerance and ABA sensitivity,"Seedling survival rate under 150 mM NaCl: WT 26-30%, mutant 70-77%; Germination inhibition at 1.5 μM ABA: WT 90%, mutant 55%",,"Drought Tolerance, Salt Stress Response, Stress Tolerance",CYP709B3,,Unknown,Knockdown/Out
3819737.pdf,10.1186/1471-2229-13-169,Arabidopsis thaliana,T-DNA insertion-based null mutant,Salt intolerance and ABA sensitivity,"Seedling survival rate under 150 mM NaCl: WT 26-30%, mutant 70-77%; Germination inhibition at 1.5 μM ABA: WT 90%, mutant 55%",,"Drought Tolerance, Salt Stress Response, Stress Tolerance",CYP709B3,,Unknown,Modification
3841200.pdf,10.1371/journal.pone.0080509,Arabidopsis thaliana,Gene Mutation,Cold-induced gene expression,"Wild-type: 100; cpl1-2: 500; Complemented: 100 | Wild-type: 100; rcf3-2: 70; rcf3-2 cpl1-6: 50 | Wild-type: 100; cpl1-6: 200; rcf3-2: 150 | Expression level of RD29a-LUC reporter gene under cold treatment | Expression levels of CBF2, CBF3, and RD29a under cold treatment",Arabidopsis CPL1 promoter | Arabidopsis RCF3 promoter,"Plant Transformation, Abiotic Stress Signalling",CPL1,,Unknown,Mutation
3841200.pdf,10.1371/journal.pone.0080509,Arabidopsis thaliana,Gene Mutation,Cold-induced gene expression,"Wild-type: 100; cpl1-2: 500; Complemented: 100 | Wild-type: 100; rcf3-2: 70; rcf3-2 cpl1-6: 50 | Wild-type: 100; cpl1-6: 200; rcf3-2: 150 | Expression level of RD29a-LUC reporter gene under cold treatment | Expression levels of CBF2, CBF3, and RD29a under cold treatment",Arabidopsis CPL1 promoter | Arabidopsis RCF3 promoter,"Gene Expression, Abiotic Stress Signalling",CPL1,,Unknown,Mutation
3849040.pdf,10.1186/1471-2229-13-138,Arabidopsis thaliana,Mu transposon insertion mutation,"Reduced shoot growth, altered morphology, purple leaf coloration",rbcL mRNA accumulation reduced 25–50 fold; RLSB mRNA accumulation reduced 25–50 fold | LSU protein accumulation reduced 12–15 fold; rbcL mRNA accumulation reduced 4-fold | LSU protein accumulation reduced 12–15 fold,,"Gene Expression, Photosynthesis",RLSB,,Unknown,Mutation
3849040.pdf,10.1186/1471-2229-13-138,Arabidopsis thaliana,Mu transposon insertion mutation,"Virescent-yellow leaves, delayed leaf development",rbcL mRNA accumulation reduced 25–50 fold; RLSB mRNA accumulation reduced 25–50 fold | LSU protein accumulation reduced 12–15 fold; rbcL mRNA accumulation reduced 4-fold | LSU protein accumulation reduced 12–15 fold,,"Gene Expression, Photosynthesis",RLSB,,Unknown,Mutation
3852326.pdf,10.1186/1471-2229-13-157,Medicago truncatula,EMS-induced mutation,"Defective nodule development, impaired bacterial release and differentiation",Reduced nitrogenase activity; decreased symbiotic gene expression,,"Disease Resistance, Nitrogen Fixation, Symbiosis",IPD3,,Unknown,Mutation
3855750.pdf,10.1371/journal.pone.0082199,Oryza sativa,Agrobacterium-mediated transformation,Leaf Morphology and Ultrastructure,"Leaf length: 48.27±1.38 cm (A-O3); Leaf width: 1.62±0.29 cm (A-O3); Leaf area: 58.68±11.54 cm² (A-O3); Leaf length: 52.11±3.61 cm (E-O3); Leaf width: 1.84±0.15 cm (E-O3); Leaf area: 72.52±9.98 cm² (E-O3) | Leaf length: 48.27±1.38 cm (A-O3), 52.11±3.61 cm (E-O3); Leaf width: 1.62±0.29 cm (A-O3), 1.84±0.15 cm (E-O3); Leaf area: 58.68±11.54 cm² (A-O3), 72.52±9.98 cm² (E-O3)",,"Plant Transformation, Leaf Property, Leaf Yield",cry1Ab/cry1Ac,,Agrobacterium,Modification
3855750.pdf,10.1371/journal.pone.0082199,Oryza sativa,Agrobacterium-mediated transformation,Leaf Morphology and Ultrastructure,"Leaf length: 48.27±1.38 cm (A-O3); Leaf width: 1.62±0.29 cm (A-O3); Leaf area: 58.68±11.54 cm² (A-O3); Leaf length: 52.11±3.61 cm (E-O3); Leaf width: 1.84±0.15 cm (E-O3); Leaf area: 72.52±9.98 cm² (E-O3) | Leaf length: 48.27±1.38 cm (A-O3), 52.11±3.61 cm (E-O3); Leaf width: 1.62±0.29 cm (A-O3), 1.84±0.15 cm (E-O3); Leaf area: 58.68±11.54 cm² (A-O3), 72.52±9.98 cm² (E-O3)",,"Above-Ground Biomass Property, Leaf Property",cry1Ab/cry1Ac,,Agrobacterium,Modification
3859232.pdf,10.3389/fpls.2013.00497,Medicago truncatula,Tnt1 insertion,Desiccation tolerance,Transcript levels increased during maturation; 740 transcripts positively correlated with DT | Transcript levels increased during re-establishment of DT; 23 transcripts positively correlated with DT,ABRE-related sequences,"Drought Tolerance, Seed Property",ABI3,,Unknown,Modification
3859232.pdf,10.3389/fpls.2013.00497,Medicago truncatula,Transcriptional regulation,Desiccation tolerance,Transcript levels increased during maturation; 740 transcripts positively correlated with DT | Transcript levels increased during re-establishment of DT; 23 transcripts positively correlated with DT,ABRE-related sequences,"Drought Tolerance, Seed Property",ABI3,,Unknown,Modification
3871816.pdf,10.1093/jxb/ert327,Arabidopsis thaliana,T-DNA insertional knockout,ABA Hypersensitivity,Germination rate in 0 μM ABA: 100%; Germination rate in 0.5 μM ABA: 90%; Germination rate in 1 μM ABA: 85%; Germination rate in 2 μM ABA: 80% | Germination rate in 0 μM ABA: 100%; Germination rate in 0.5 μM ABA: 95%; Germination rate in 1 μM ABA: 90%; Germination rate in 2 μM ABA: 85% | Germination rate: 90%; Greening rate: 43%,,"Plant Transformation, Above-Ground Biomass Property",AP-3μ,,Unknown,Knockdown/Out
3871816.pdf,10.1093/jxb/ert327,Arabidopsis thaliana,T-DNA insertional knockout,ABA Hypersensitivity,Germination rate in 0 μM ABA: 100%; Germination rate in 0.5 μM ABA: 90%; Germination rate in 1 μM ABA: 85%; Germination rate in 2 μM ABA: 80% | Germination rate in 0 μM ABA: 100%; Germination rate in 0.5 μM ABA: 95%; Germination rate in 1 μM ABA: 90%; Germination rate in 2 μM ABA: 85% | Germination rate: 90%; Greening rate: 43%,,"Aba Signaling, Germination Regulation",AP-3μ,,Unknown,Knockdown/Out
3888769.pdf,10.1155/2013/397401,Oryza sativa,Agrobacterium-mediated promoter-GUS fusion,Heat stress-induced GUS activity,GUS activity under heat stress: 63-fold to 45-fold increase; GUS activity under drought stress: low activity,"OsHsfB2cp, PM19p, Hsp90p","Disease Resistance, Stress Tolerance","OsHsfB2cp, PM19p, Hsp90p",,Agrobacterium,Modification
3919593.pdf,10.1093/nar/gkt1004,Arabidopsis thaliana,CRISPR/Cas9 knockout,Elevated homologous recombination frequency,14-fold increase in recombination events,,"DNA Repair, Homologous Recombination",RECQ4A,,CRISPR/Cas9,Knockdown/Out
3919742.pdf,10.1371/journal.pone.0088310,Medicago sativa l.,Agrobacterium-mediated transformation,Increased sulfur amino acid levels,Cysteine increased by 30%; Methionine increased by 60%,CaMV 35S,"Pharmaceutical Precursors, Nutrient Utilization",Bacterial Aspartate Kinase (AK) and Adenylylsulfate Reductase (APR),,Agrobacterium,Modification
3919742.pdf,10.1371/journal.pone.0088310,Medicago sativa l.,Agrobacterium-mediated overexpression,Increased sulfur amino acid levels,Cysteine increased by 30%; Methionine increased by 60%,CaMV 35S,"Pharmaceutical Precursors, Nutrient Utilization",Bacterial Aspartate Kinase (AK) and Adenylylsulfate Reductase (APR),,Agrobacterium,Overexpression
3921211.pdf,10.1371/journal.pone.0088636,Oryza sativa,RNA interference (RNAi) using dsRNA targeting the NS4 gene,Resistance to Rice Stripe Virus,8% reduction in viral spread; 20% reduction in extensive midgut infection,,Disease Resistance,NS4,,RNAi,Knockdown/Out
3921211.pdf,10.1371/journal.pone.0088636,Oryza sativa,Gene knockdown,Resistance to Rice Stripe Virus,8% reduction in viral spread; 20% reduction in extensive midgut infection,,Disease Resistance,NS4,,Unknown,Modification
3924727.pdf,10.1093/jxb/ert424,Oryza sativa,Agrobacterium-mediated overexpression,Decreased root-to-shoot Pi translocation,Shoot Pi concentration decreased; Root Pi concentration unchanged | Shoot Pi concentration increased; Root Pi concentration unchanged | Shoot Pi concentration decreased | Shoot Pi concentration decreased; Root Pi concentration increased,35S,"Phosphate Homeostasis, Plant Transformation","SPX3, SPX5",,Agrobacterium,Overexpression
3924727.pdf,10.1093/jxb/ert424,Oryza sativa,Agrobacterium-mediated overexpression,Decreased root-to-shoot Pi translocation,Shoot Pi concentration decreased; Root Pi concentration unchanged | Shoot Pi concentration increased; Root Pi concentration unchanged | Shoot Pi concentration decreased | Shoot Pi concentration decreased; Root Pi concentration increased,35S,"Disease Resistance, Nutrient Utilization","SPX3, SPX5",,Agrobacterium,Overexpression
3927210.pdf,10.1038/srep04122,Arabidopsis thaliana,EMS-induced point mutation,Pointed-leaf phenotype,Recessive trait; Non-allelic non-complementation | Leaf angle measurements; Leaf length,API2 promoter and RPL36aA promoter,"Gene Expression, Leaf Property",API2,,Unknown,Mutation
3927210.pdf,10.1038/srep04122,Arabidopsis thaliana,EMS-induced point mutation,Pointed-leaf phenotype,Recessive trait; Non-allelic non-complementation | Leaf angle measurements; Leaf length,API2 promoter and RPL36aA promoter,"Leaf Property, Leaf Yield",API2,,Unknown,Mutation
3937225.pdf,10.1371/journal.pgen.1004186,Nicotiana tabacum,Insertion of fluorescent markers (eGFP and mCherry) into the TEV genome,"Viral infection dynamics, fluorescence-based tracking",Frequency of infected cells: 0.072 ± 0.099; Frequency of coinfected cells: 0.012 ± 0.023; Cellular contagion rate (R): 2.43 cells/cell/d (95% CI: 1.80–3.39) to values not significantly different from zero,,"Disease Resistance, Virus Infection Dynamics, Biosensing",Tobacco Etch Virus (TEV) coat protein (CP),,Unknown,Modification
3937225.pdf,10.1371/journal.pgen.1004186,Nicotiana tabacum,RNA virus infection with fluorescent markers,"Viral infection dynamics, fluorescence-based tracking",Frequency of infected cells: 0.072 ± 0.099; Frequency of coinfected cells: 0.012 ± 0.023; Cellular contagion rate (R): 2.43 cells/cell/d (95% CI: 1.80–3.39) to values not significantly different from zero,,"Disease Resistance, Virus Infection Dynamics, Biosensing",Tobacco Etch Virus (TEV) coat protein (CP),,Unknown,Modification
3948610.pdf,10.1002/mbo3.107,Marinomonas mediterranea,Suicide plasmid-mediated deletion,loss of glycine oxidase activity,GOX activity: 2 × 10^6 RFU/(min·mg prot),,"Biofuel Precursors, Disease Resistance, Photosynthesis",Marme_1655,,Unknown,Modification
3948610.pdf,10.1002/mbo3.107,Marinomonas mediterranea,Suicide plasmid-mediated deletion,loss of glycine oxidase activity,GOX activity: 2 × 10^6 RFU/(min·mg prot),,"Biofuel Precursors, Disease Resistance, Photosynthesis",Marme_1654,,Unknown,Modification
3948683.pdf,10.1371/journal.pone.0090588,Oryza sativa,Agrobacterium-mediated transformation,Drought Tolerance,Increased survival rate; Increased chlorophyll index,rice Rab21 | Rab21,"Drought Tolerance, Stress Response",CaMSRB2,,Agrobacterium,Modification
3948683.pdf,10.1371/journal.pone.0090588,Oryza sativa,Agrobacterium-mediated transformation,Drought Tolerance,Increased survival rate; Increased chlorophyll index,rice Rab21 | Rab21,"Drought Tolerance, Above-Ground Biomass Yield",CaMSRB2,,Agrobacterium,Modification
3954807.pdf,10.1371/journal.pone.0091866,Medicago truncatula,knockout,Conditional symbiotic efficiency,Nodule occupancy; Nitrogen fixation efficiency,,Symbiosis,DNF2,,Unknown,Knockdown/Out
3967092.pdf,10.1093/jxb/eru027,Arabidopsis thaliana,CRISPR/Cas9 knockout,Increased light sensitivity,Photosynthetic electron transport rates (ETR) decreased by 30%; Chlorophyll fluorescence decreased by 25%,,"Photosynthesis, Disease Resistance",Lhcb1,,CRISPR/Cas9,Knockdown/Out
3981775.pdf,10.1371/journal.pone.0094171,Brachypodium distachyon,RNA interference (RNAi),Non-flowering,Downregulation of FT1 transcripts; Delayed heading time (2–4 weeks),Maize Ubiquitin promoter (Ubi),Flowering,FT1,,RNAi,Knockdown/Out
3981775.pdf,10.1371/journal.pone.0094171,Brachypodium distachyon,RNA interference (RNAi),Late flowering,Downregulation of FT1 transcripts; Delayed heading time (2–4 weeks),Maize Ubiquitin promoter (Ubi),Flowering,FT1,,RNAi,Knockdown/Out
4002625.pdf,10.4161/psb.25422,Glycine max,Agrobacterium-mediated overexpression,Reduced somatic embryogenesis,"Embryo induction score: Jack (1.6-2.2), Defiance (1.2-1.6); Ethylene production: Jack higher than Defiance",,"Plant Transformation, Somatic Embryogenesis",GmAGL15,,Agrobacterium,Overexpression
4002625.pdf,10.4161/psb.25422,Glycine max,Observational Study (RNA-seq / Transcriptomics),Reduced somatic embryogenesis,"Embryo induction score: Jack (1.6-2.2), Defiance (1.2-1.6); Ethylene production: Jack higher than Defiance",,"Plant Transformation, Somatic Embryogenesis",GmAGL15,,Unknown,Modification
4006870.pdf,10.1371/journal.pone.0096108,Petunia hybrida,Virus-induced gene silencing (VIGS),Late flowering,Days to flowering: CHS-TRV2 control plants (reference); FBP21-TRV2 plants (p < 0.001); FBP28-TRV2 plants (p < 0.001); Triple silenced plants (p < 0.001),,Flowering,"SOC1-like genes (UNS, FBP21, FBP28)",,VIGS,Knockdown/Out
4015984.pdf,10.1371/journal.pone.0096537,Gossypium hirsutum,Transgenic overexpression,"Increased secondary cell wall deposition, enhanced sucrose synthase expression",Micronaire values: 5.1 ± 0.2; Cell wall thickness: 1.9 ± 0.1 μm; 1000-fiber weight: 5.7 ± 0.2 mg; Cellulose content: 30.5 ± 1.2%,SCFP,"Above-Ground Biomass Property, Secondary Cell Wall Deposition",GhGA20ox1,,Unknown,Overexpression
4028898.pdf,10.1038/srep05018,Nicotiana tabacum,Agrobacterium-mediated transformation with the CaMV35S promoter driving AtMYB111 expression,Enhanced flavonol content,Flavonol content increased by 2-3x; CGA content increased by up to 0.45 mg/g FW,CaMV35S,"Flavonoid Biosynthesis, Secondary Metabolite Production",AtMYB111,,Agrobacterium,Modification
4028898.pdf,10.1038/srep05018,Nicotiana tabacum,Overexpression using CaMV35S promoter,Enhanced flavonol content,Flavonol content increased by 2-3x; CGA content increased by up to 0.45 mg/g FW,CaMV35S,"Flavonoid Biosynthesis, Secondary Metabolite Production",AtMYB111,,Unknown,Overexpression
4032326.pdf,10.1371/journal.pone.0098231,Tupaia belangeri,Cloning and real-time PCR,Expression levels of CXCL12 and CXCR4 in various tissues,"CXCL12: spleen (10x), liver (3x); CXCR4: thymus (20x), liver (3x)",,"Gene Expression, Immunological Studies","CXCL12, CXCR4",,Unknown,Modification
4046140.pdf,10.1186/1471-2229-14-144,Nicotiana tabacum,Agrobacterium-mediated overexpression,"Increased mitochondrial biogenesis, enhanced stress tolerance","Increased mtDNA content (2- to 5-fold); Upregulated mitochondrial proteins (GRPe, NADH-IS2-7, COXII, IDH, VDAC1, AOX)",,Not Explicitly Named,AtUCP1,,Agrobacterium,Overexpression
4046140.pdf,10.1186/1471-2229-14-144,Nicotiana tabacum,Overexpression via transgenic transformation,"Increased mitochondrial biogenesis, enhanced stress tolerance","Increased mtDNA content (2- to 5-fold); Upregulated mitochondrial proteins (GRPe, NADH-IS2-7, COXII, IDH, VDAC1, AOX)",,Not Explicitly Named,AtUCP1,,Unknown,Overexpression
4047481.pdf,10.1007/s12272-013-0312-2,Ulmus davidiana var. japonica,siRNA knockdown,Apoptosis induction in gastric cancer cells,60% survival at 50 μg/ml; 40% survival at 100 μg/ml | 80% survival at 50 μg/ml; 60% survival at 100 μg/ml,,Pharmaceutical Precursors,BiP,,Unknown,Modification
4047481.pdf,10.1007/s12272-013-0312-2,Ulmus davidiana var. japonica,siRNA knockdown,Suppression of apoptosis in gastric cancer cells,60% survival at 50 μg/ml; 40% survival at 100 μg/ml | 80% survival at 50 μg/ml; 60% survival at 100 μg/ml,,Pharmaceutical Precursors,BiP,,Unknown,Modification
4065548.pdf,10.1186/1749-8104-9-14,Chick,electroporation,Acquisition of rTh GABA subtype identity,Loss of glutamatergic progenitor identity; Suppression of Neurog2 and Lhx9 expression | Downregulation of pTh genes Dlx2 and Meis2,,"Gene Expression, Neurodevelopment",Helt,,Unknown,Modification
4065548.pdf,10.1186/1749-8104-9-14,Chick,electroporation,Induction of TRN fate,Loss of glutamatergic progenitor identity; Suppression of Neurog2 and Lhx9 expression | Downregulation of pTh genes Dlx2 and Meis2,,"Gene Expression, Neurodevelopment",Helt,,Unknown,Modification
4091783.pdf,10.1371/journal.pgen.1004464,Arabidopsis thaliana,EMS-induced point mutation,Increased plant height and organ size,Plant height increased by 50%; Organ size increased by 30% | Plant height decreased by 40%; Organ size decreased by 20% | Plant height increased by 20% | Increased degradation of RGA and GAI proteins in TOPP4 overexpressing plants; Decreased degradation of RGA and GAI proteins in topp4-1 mutants | Accumulation of RGA protein in topp4-1 mutants; Reduced accumulation in TOPP4 overexpressing plants | Accumulation of GAI protein in topp4-1 mutants; Reduced accumulation in TOPP4 overexpressing plants,CaMV 35S | 35S,"Above-Ground Biomass Property, Above-Ground Biomass Yield",TOPP4,,Unknown,Mutation
4091783.pdf,10.1371/journal.pgen.1004464,Arabidopsis thaliana,EMS-induced point mutation,Increased plant height and organ size,Plant height increased by 50%; Organ size increased by 30% | Plant height decreased by 40%; Organ size decreased by 20% | Plant height increased by 20% | Increased degradation of RGA and GAI proteins in TOPP4 overexpressing plants; Decreased degradation of RGA and GAI proteins in topp4-1 mutants | Accumulation of RGA protein in topp4-1 mutants; Reduced accumulation in TOPP4 overexpressing plants | Accumulation of GAI protein in topp4-1 mutants; Reduced accumulation in TOPP4 overexpressing plants,CaMV 35S | 35S,"Gene Expression, Biosensing, Plant Transformation, Disease Resistance, Photosynthesis",TOPP4,,Unknown,Mutation
4103849.pdf,10.1371/journal.pone.0101995,Arabidopsis thaliana,Agrobacterium-mediated overexpression under the CaMV35S promoter,"Early flowering, reduced stomatal density, delayed senescence",Flowering leaves: 9.06±1.00; Stomatal density reduction: 38-39%,CaMV35S,"Flowering, Photosynthesis",SlERF36,,Agrobacterium,Overexpression
4103849.pdf,10.1371/journal.pone.0101995,Arabidopsis thaliana,Overexpression using CaMV35S promoter,"Early flowering, reduced stomatal density, delayed senescence",Flowering leaves: 9.06±1.00; Stomatal density reduction: 38-39%,CaMV35S,"Flowering, Photosynthesis",SlERF36,,Unknown,Overexpression
