Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,,Mod_Method,Mod_Direction
2423664.pdf,10.1093/jxb/ern101,arabidopsis thaliana,t-dna insertional knockout,"reduced aliphatic root suberin, altered suberin monomer composition",total aliphatic suberin amount in wild type: more than twice that in mutants; relative amount of ω-hydroxyacids in mutants: increased >40%; relative amount of fatty acids in mutants: reduced to 12% from 21%,,"disease resistance, biosensing, root property",cyp86a1,,unknown,knockdown/out
2491621.pdf,10.1186/1746-4811-4-17,arabidopsis thaliana,35s promoter-driven overexpression,elevated anthocyanin levels,fold increase in anthocyanin biosynthesis genes; 121-fold increase in dfr promoter activity | 121.6-fold increase in luc/ren ratio | 3.1-fold increase in luc/ren ratio | 4.1-fold increase in luc/ren ratio | 7.4-fold increase in luc/ren ratio | 122-fold increase in luciferase activity; 38- to 60-fold increase in luc/ren ratio,35s promoter,"above-ground biomass property, gene expression",pap1,,unknown,overexpression
2529229.pdf,10.1093/jxb/ern192,lactuca sativa,molecular cloning using pcr with degenerate primers and rt-pcr,seed germination regulation,"upregulated after fr/r treatment; downregulated after fr/r/fr treatment | expression levels slightly increased after fr/r treatment | homology with other plant species: cps 74%, ks 70% | expression levels of lsga20ox2, lsga3ox1, and lsga3ox2 increased after fr/r treatment; lsga2ox2 decreased",,"seed property, germination","lsga20ox1, lsga20ox2, lsga3ox1, lsga3ox2, lsga2ox1, lsga2ox2",,unknown,modification
2566982.pdf,10.1186/1471-2229-8-96,arabidopsis thaliana,t-dna insertional knockout,reduced starch content,starch content reduced by more than 70% at the end of the day in double mutant compared to wild type | increase in starch content when ssiii is mutated under certain growth conditions | increased frequency of chains in the length region of dp12 to dp28; relative deficiency in short chains of dp6 to dp10 | starch content: 28%; 53%; amylose content: 43%; glucose: 4.5-fold; fructose: 3.4-fold,,"above-ground biomass property, starch metabolism",atss2,,unknown,knockdown/out
2596861.pdf,10.1371/journal.pbio.0060308,arabidopsis thaliana,ems-induced point mutation,"seed lethality, endosperm cellularization",seed lethality rate: 80%; endosperm cellularization frequency: 90%,,"seed property, disease resistance",ttg2,,unknown,mutation
2657537.pdf,10.1093/jxb/ern362,arabidopsis thaliana,agrobacterium-mediated transformation,"developmental abnormalities, delayed growth",rps10 transcript levels: 2-30% of wild type; silencing efficiency: 75-98%,,"gene expression, disease resistance",rps10,,agrobacterium,modification
2689219.pdf,10.1186/1471-2229-9-52,arabidopsis thaliana,t-dna insertional knockout,increased growth under mms treatment,root length increased by 10-20%; leaf number increased by 5-10%,,"disease resistance, dna damage response","atsrp2, atsrp3",,unknown,knockdown/out
2699525.pdf,10.1093/nar/gkp241,arabidopsis thaliana,t-dna insertional knockout,increased protochlorophyllide accumulation,8-fold increase in protochlorophyllide accumulation | 8-fold increase in protochlorophyllide; 5.5-kb polycistronic transcript,atriba1 | atriba1 promoter,"plant transformation, chlorophyll biosynthesis",atriba1,,unknown,knockdown/out
2718221.pdf,10.1093/jxb/erp160,nicotiana tabacum,biolistic process with gold particles,increased as enzyme activity and free trp levels,as enzyme activity 4-fold increase; free trp levels 7-fold increase | as enzyme activity: 4-fold increase; free trp levels: 7-fold increase,prrn | prrn (chloroplast 16s rrna promoter),"gene expression, plant transformation, biosensing",asa2,,unknown,modification
2721414.pdf,10.1371/journal.pgen.1000613,arabidopsis thaliana,mutation,"defects in meristem maintenance, organ formation, dna damage response, and cell cycle progression",expression levels of ett and arf4 genes increased in teb mutants; upregulation of genes nearby helitron transposons and tandemly arrayed homologous genes,,"gene expression, disease resistance, photosynthesis, plant transformation",teb,,unknown,mutation
2785485.pdf,10.1371/journal.pone.0008236,arabidopsis thaliana,agrobacterium-mediated overexpression,increased cytokinin content; reduced cytokinin sensitivity,tzr: 17.43 ± 5.74 pmol/g; ip7g: 14.00 ± 1.16 pmol/g; tzrmmp: 16.37 ± 5.33 pmol/g | tzrmmp: 0.20 ± 0.20 pmol/g | tzr: 17.43 ± 5.74 pmol/g; iprmp: 13.10 ± 4.44 pmol/g | tzr: 3.08 ± 0.97 pmol/g,camv 35s | 35s,"gene expression, biosensing","atsofl1, atsofl2",,agrobacterium,overexpression
2817689.pdf,10.1186/1471-2164-11-19,arabidopsis thaliana,gatewayr-mediated overexpression with gfp or flag epitope tags,suppression of bri1-5 dwarf phenotype,bak1-flag and bak1-gfp overexpression confirmed by western blot,camv 35s promoter with dual enhancers,"disease resistance, genome editing",bak1,,unknown,overexpression
2851662.pdf,10.1186/1472-6750-10-23,jatropha curcas,agrobacterium-mediated overexpression,salt tolerance,777 bp; confers tolerance at 750 mm nacl | 357 bp; confers tolerance at 750 mm nacl | 234 bp; confers tolerance at 750 mm nacl | 492 bp; confers tolerance at 750 mm nacl | salt tolerance at 500 mm nacl; salt tolerance at 750 mm nacl,gal1,"abiotic stress tolerance, salt tolerance",allene oxide cyclase,,agrobacterium,overexpression
2855997.pdf,10.1155/2010/274346,nicotiana tabacum,agrobacterium-mediated transformation,expression of ag85b/esat-6 fusion protein,4% of total soluble proteins,camv 35s promoter,"pharmaceutical precursors, disease resistance",ag85b/esat-6,,agrobacterium,modification
2858750.pdf,10.1186/1471-2164-11-190,arabidopsis thaliana,knockdown mutation (glu1-2),reduced expression of fd-gogat1 leading to altered nitrogen metabolism and chlorotic phenotype,log2 ratio of -5.74 in leaves; log2 ratio of -0.54 in roots,,"disease resistance, photosynthesis, nitrogen metabolism",fd-gogat1 (glu1),,unknown,mutation
2864509.pdf,10.1155/2010/134764,xenopus laevis,microinjection of mrna and antisense morpholino oligonucleotides (mos),small eye phenotype; one-eye phenotype,26% small eye at 450 pg; 38% small eye at 900 pg; 4% one-eye at 300 pg; 62% one-eye at 600 pg,,"developmental biology, apoptosis",xpnas-4,,unknown,modification
2978894.pdf,10.1007/s00299-010-0921-x,oryza sativa,agrobacterium-mediated transformation,gfp fluorescence; luc luminescence,transformation efficiency: 10-fold higher in kasalath; single copy t-dna integration: 40%,camv 35s,"plant transformation, gene expression",,,agrobacterium,modification
3017835.pdf,10.1186/1471-2229-10-212,arabidopsis thaliana,t-dna insertional knockout,aba hypersensitive phenotype,increased sensitivity to aba in seed germination and stomatal closure,,"drought tolerance, stress response",at5g15860,,unknown,knockdown/out
3017850.pdf,10.1186/1471-2229-10-227,cuscuta reflexa,gateway™ cloning system with destination vector petdest42,successful infection events reduced,40% reduction in haustoria formation; 15% successful infestation rate,,"disease resistance, pest resistance",cuscutain,,unknown,modification
3018479.pdf,10.1186/1471-2164-11-707,hordeum vulgare,gene editing,vernalization sensitivity,91 accessions flowered between 32-69 days; 11 accessions did not flower within 150 days | 55 two-rowed genotypes; 47 six-rowed genotypes | snp sites and haplotypes identified in 102 accessions,,"plant transformation, vernalization sensitivity, flowering",vrn1,,unknown,modification
3024324.pdf,10.1186/1471-2229-10-286,nicotiana benthamiana,virus-induced gene silencing (vigs),differential gene expression,90 cdna fragments; 8 primer pairs | 190 ± 24% | 63 ± 14% | acag1 mrna: 47 ± 3%; bamv coat protein: 190 ± 24% | acag8 mrna: 76 ± 2%; bamv coat protein: 190 ± 24% | bamv coat protein: 190 ± 24% | bamv coat protein: 63 ± 10%,,"gene expression, disease resistance",bamv,,vigs,knockdown/out
3042610.pdf,10.4061/2009/715086,mesenchytraeus solifugus,gene modification,elevated intracellular atp levels,increased atp levels; elevated energy levels,,"energy metabolism, cold adaptation",amp deaminase,,unknown,modification
3056789.pdf,10.1371/journal.pone.0017800,solanum lycopersicum,rna interference (rnai),reduction of lyc e 2 glycoallergen,immunoblot analysis confirmed reduction of lyc e 2; basophil activation tests showed decreased activation with ccd-reduced extracts | immunoblot analysis showed reduced ccd patterns; specific ige levels decreased with ccd-reduced extracts,35s constitutive promoter,"disease resistance, pharmaceutical precursors",lyc e 2,,rnai,knockdown/out
3068091.pdf,10.1186/1471-2229-11-49,gossypium barbadense,natural mutation,semigamy trait with high haploid production,44% haploids in self-pollinated plants; 11% haploids when crossed as female | up-regulated in both anthers and ovules,,"disease resistance, above-ground biomass property",se,,unknown,mutation
3071771.pdf,10.1093/jxb/ern289,heterodera glycines,rna interference (rnai),reduced parasitic success,reduction in developing females: 23% to 64%; fold change in mrna levels: -1.5 to -2.5,35s constitutive promoter,"disease resistance, rnai technology","parasitism genes (e.g., 8h07, 10a06)",,rnai,knockdown/out
3073945.pdf,10.1371/journal.pone.0018530,arabidopsis thaliana,t-dna insertional knockout,"pollen tube growth defects, delayed or impaired fusion of polar nuclei",silique length: 1.11 cm (sd = 0.04 cm); aborted seeds: 3.4%; unfertilized ovules: 34.5%,,"disease resistance, flowering, fruit property, fruit yield, leaf property, leaf yield, pest resistance, root property, root yield, seed property, seed yield","miro1, miro2",,unknown,knockdown/out
3084865.pdf,10.1371/journal.pone.0019459,arabidopsis thaliana,single amino-acid substitution mutation,"failure to remove cohesin during metaphase, nondisjunction of chromosomes during anaphase, disrupted radial microtubule arrays after telophase ii",failure to remove cohesin during metaphase; nondisjunction of chromosomes during anaphase; disrupted radial microtubule arrays after telophase ii,,"gene expression, meiosis, chromosome segregation, microtubule dynamics",separase (rsw4),,unknown,mutation
3088725.pdf,10.1371/journal.ppat.1002021,nicotiana tabacum,virus-induced gene silencing (vigs),yellowing symptoms,chli mrna downregulated; chlorophyll biosynthesis impaired | chli mrna levels decreased; gfp fluorescence reduced,,"chlorophyll biosynthesis, rna silencing",chli,,vigs,knockdown/out
3091529.pdf,10.1093/glycob/cwr009,nicotiana benthamiana,transient expression using viral-based vectors (magnicon system),formation of bisected and branched complex n-glycans,gngnbi; gn[gngn]; [gngn]gn; [gngn][gngn],,"pharmaceutical precursors, biosensing","gntiii, gntiv, gntv",,unknown,modification
3095299.pdf,10.1186/1471-2229-10-165,impatiens walleriana,agrobacterium-mediated transformation,gfp expression,59% of explants produced gfp positive buds and/or shoots; 79% of gfp positive shoots generated roots,double camv 35 s promoter,"above-ground biomass property, disease resistance",,,agrobacterium,modification
3100308.pdf,10.1371/journal.pone.0020015,oryza sativa,rnai-mediated suppression,reduced chlorophyll and rubisco levels,chlorophyll content decreased by 30-40%; rubisco abundance decreased by 20-30%,"photosynthesis, chlorophyll biosynthesis, rubisco formation",,osnoa1,,rnai,modification
3103426.pdf,10.1186/1471-2229-11-72,actinidia spp.,agrobacterium-mediated overexpression,"floral transition promotion, altered floral organ development",flowering time under ld: 19.1 ± 0.5 days; flowering time under sd: 27.0 ± 2.9 days,35s promoter,"flowering, gene expression","mads-box genes (ful-like, ful, ap3-1, pi, ag, sep1, sep3, sep4)",,agrobacterium,overexpression
3108824.pdf,10.1371/journal.pone.0020587,arabidopsis thaliana,t-dna insertional knockout,reduced dna methylation,80% reduction in asymmetric cytosine methylation; 60% loss of cg methylation,,"gene expression, dna methylation",ddm1,,unknown,knockdown/out
3116158.pdf,10.3390/ijms12052808,nicotiana tabacum,agrobacterium-mediated transformation,enhanced expression of heterologous proteins,"expression levels: 0.004% (ntn1), 0.2% (ntn1-elp), 0.01% (ntha1), 0.3% (ntha1-elp)",camv 35s promoter,"above-ground biomass property, biosensing, pharmaceutical precursors",elp (elastin-like peptide) fusion,,agrobacterium,modification
3130183.pdf,10.1093/jxb/err074,arabidopsis thaliana,t-dna insertional knockout,increased sensitivity to ca²⁺,gravitropic bending angle: 47.5 ± 3.0 degrees; chlorophyll content relative to 0 hours: 0.8 ± 0.1 | gravitropic bending angle: 50.7 ± 6.6 degrees; chlorophyll content relative to 0 hours: 0.75 ± 0.08 | chlorophyll degradation after 5 days in darkness: 15.2 ± 2.3%; sag12 expression levels: 1.2 ± 0.1 | expression level in cotyledons: 210.25 ± 12.02; expression level in hypocotyls: 53.43 ± 2.18; expression level in roots: 27.23 ± 3.56,gus,"above-ground biomass property, calcium capture",atcngc11,,unknown,knockdown/out
3138417.pdf,10.1186/1746-4811-7-14,arabidopsis thaliana,t-dna insertional knockout,metabolic profiling for ecotype discrimination,correct classification of 14 different lines; 100% original grouped cases correctly identified; 80.6% cross-validated grouped cases correctly classified,,"metabolic profiling, ecotype discrimination",,,unknown,knockdown/out
3141639.pdf,10.1186/1471-2229-11-108,arabidopsis thaliana,t-dna insertional knockout,salt stress response,increased mrna levels under 150 mm nacl; increased mrna levels under 1 μm aba; increased mrna levels under 250 mm mannitol; rapid induction under 0.2 μm methyl viologen | localized to chloroplasts under salt stress; localized to mitochondria under standard conditions | relative expression levels of attspo mrna increased by 2-fold under salt stress; chlorophyll content increased by 30% in overexpression lines | attspo mrna levels decreased to 20% of wild-type; chlorophyll content decreased by 30% in knockdown mutants,camv 35s,"above-ground biomass property, stress response",attspo,,unknown,knockdown/out
3143138.pdf,10.1371/journal.pone.0022241,arabidopsis thaliana,mutagenesis,reduced seed dormancy,germination percentage increased; dormancy levels decreased,,"seed property, seed dormancy",rdo2,,unknown,modification
3161960.pdf,10.1371/journal.ppat.1002130,solanum lycopersicum,spontaneous natural mutation (snp/indel),loss of full-length hopm1 protein,frameshift deletions: 1 bp; 5 bp; nonsense mutation at bp 463,,disease resistance,hopm1,,unknown,mutation
3197671.pdf,10.1371/journal.pgen.1002331,arabidopsis thaliana,t-dna-mediated structural rearrangements,hygromycin resistance,84%; 98%; 56% | 2; 100 | more mcg; less mcg | h3k9me2; h3k4me3,35s promoter,"gene expression, disease resistance",,,unknown,modification
3202935.pdf,10.1093/jxb/err062,arabidopsis thaliana,ems-induced point mutation,reduced luc response to shade; enhanced hypocotyl elongation,hypocotyl length under white light: wt 3 mm; dra1 6 mm,,"light signaling, phytochrome function",phya,,unknown,mutation
3207813.pdf,10.1371/journal.pone.0026982,arabidopsis thaliana,t-dna insertional knockout,"enhanced drought stress tolerance, reduced stomatal aperture, elevated aba levels",survival rate: 90% (nfxl2-1 mutant); aba levels: 750 ng/g (nfxl2-1 mutant),,"drought tolerance, disease resistance",nfx1-like2 (nfxl2),,unknown,knockdown/out
3212723.pdf,10.1093/pcp/pcr134,solanum lycopersicum,ems-induced mutation,reduced ethylene response,"mutation frequency: 1 mutation per 1,237 kb; ethylene sensitivity reduction in seedlings",,"disease resistance, fruit property, fruit yield",sletr1,,unknown,mutation
3213157.pdf,10.1186/1743-422x-8-475,nicotiana benthamiana,mutation,enhanced susceptibility to viruses,mutation identified in rdr1 gene (72 bp insertion); higher virus replication levels | virus replication detected; no symptoms observed | virus replication detected; symptoms observed | mutation detected in rdr1 gene | no mutation detected in rdr1 gene,,"disease resistance, rna silencing",rdr1,,unknown,mutation
3228754.pdf,10.1371/journal.pone.0028315,nicotiana tabacum,agrobacterium-mediated rnai,"reduced flavonol content, delayed flowering, male sterility, reduced seed set",20-80% reduction in fls gene expression; 25-93% reduction in flavonol (quercetin) content; 85-72% reduction in endogenous free iaa content,,"plant transformation, disease resistance, flowering, seed property",fls,,agrobacterium,modification
3245457.pdf,10.1093/jxb/err258,oryza sativa,rnai-mediated disruption,"drought tolerance, improved yield","panicle length: 24.0 ± 1.1 cm; number of spikelets per panicle: 128.0 ± 8.0; spikelet sterility: 29–37%; grain yield per plant: 12.0 g (well-watered), 4.2 g (water-stressed) | delayed wilting; conserved soil water; improved recovery; reduced stomatal conductance; higher relative water content",maize ubi1 | maize ubi1-13 promoter,"drought tolerance, yield improvement",sqs (squalene synthase),,rnai,modification
3266906.pdf,10.1371/journal.pone.0030798,zea mays,ems-induced point mutation,"severe dwarfism, altered leaf and floral morphology, reduced root elongation","height: 7-39 cm (average 19 cm, sd 7 cm); root length: 5-14 cm (average 10 cm, sd 3 cm)",,"disease resistance, above-ground biomass property, root property",brd1,,unknown,mutation
3270032.pdf,10.1371/journal.pone.0031347,nicotiana attenuata,virus-induced gene silencing (vigs),silencing of mscyp6b46 gene,transcript levels reduced by threefold; no effect on larval mass gain | transcript levels reduced by 50%; no effect on larval mass gain,,"gene expression, pest resistance",mscyp6b46,,vigs,knockdown/out
3276085.pdf,10.1093/jxb/err341,zea mays,natural mutation (loss of function),"modified starch granule morphology, reduced branch frequency, longer glucan chains",amylose content: 24.9% (wild-type); 65.6% (ae1.1); 49.3% (ae1.2) | gelatinization temperature: 68.1°c (wild-type); 67.9°c (ae1.1); 69.9°c (ae1.2) | gelatinization temperature: 73.3°c (wild-type); 80.6°c (ae1.1); 78.7°c (ae1.2),,"starch property, above-ground biomass property",sbeiib,,unknown,mutation
3285762.pdf,10.1007/s11032-011-9591-9,solanum lycopersicum,ems-induced point mutation,altered carotenoid content during fruit ripening,phytoene content; lycopene content; β-carotene content; lutein content,,"disease resistance, fruit property, fruit yield, photosynthesis",psy1,,unknown,mutation
3290596.pdf,10.1371/journal.pone.0032850,zea mays,rna interference (rnai),reduction in a-zeins; increase in non-zein proteins; kernel texture remains hard,total protein level: 24.7%; lysine relative level: 3.7%,,"disease resistance, nutrient utilization, seed property",a-zeins (22-kda and 19-kda),,rnai,knockdown/out
3320592.pdf,10.1371/journal.ppat.1002640,nicotiana benthamiana,agrobacterium-mediated overexpression,increased methanol emission,methanol emission increased by 20-fold compared to control; pme activity increased by 50% | leaf sap methanol levels increased by 2-fold | bg mrna accumulation increased by 400-fold after 18 hours of methanol treatment | ncapp mrna accumulation increased by 50-fold after 18 hours of methanol treatment | mig-21 mrna accumulation increased by 13-23 fold after methanol treatment | 118.70 ± 4.01 (bg mrna accumulation after 18h methanol treatment) | 9.89 ± 2.67 (ncapp mrna accumulation after 18h methanol treatment) | 3.60 ± 0.80 (mig-21 mrna accumulation after 18h methanol treatment) | two-fold increase in leaf sap methanol levels | increased tmv rna accumulation in receiver plants,,"plant transformation, disease resistance",pme,,agrobacterium,overexpression
3338558.pdf,10.1371/journal.pone.0035995,arabidopsis thaliana,agrobacterium-mediated overexpression,increased resistance to botrytis cinerea,lesion area decreased by 30%; expression of pdf1.1 increased by 15.8-fold | lesion area decreased by 25%; expression of pdf1.2 increased by 18.2-fold | lesion area increased by 40%; expression of pdf1.1 decreased by 2-fold | pdf1.1: fold change 15.8; pdf1.2a: fold change 7.4 | spore production: decreased by 15%,35s camv promoter,"disease resistance, plant transformation",erf5,,agrobacterium,overexpression
3346222.pdf,10.1093/jxb/err433,arabidopsis thaliana,agrobacterium-mediated overexpression,"drought avoidance, aba sensitivity, ros production",stomatal closure increased by 90%; endogenous aba levels increased by 2.1-fold | aba sensitivity increased; water loss decreased; endogenous aba level increased,,"drought tolerance, above-ground biomass property",aspg1,,agrobacterium,overexpression
3350935.pdf,10.1093/jxb/ers051,oryza sativa,agrobacterium-mediated overexpression,increased α-linolenic acid (ala) content in seeds,ala content increased from 0.36 mg/g to 10.06 mg/g; 27.9-fold higher than non-transformants | ala content increased from 0.36 mg/g to 8.57 mg/g; 23.8-fold higher than non-transformants,gluc,"above-ground biomass property, biosensing, biofuel precursors, pharmaceutical precursors, nutrient utilization",osfad3,,agrobacterium,overexpression
3355636.pdf,10.3389/fpls.2011.00035,rosa multiflora,agrobacterium-mediated transient rnai silencing,black spot resistance,reduced hyphal clusters to 54%; increased resistance to race 6 isolates | 54% reduction in hyphal clusters | 9 independent experiments with 54% reduction | loss of resistance in resistant genotype,,"disease resistance, plant transformation",rdr1,,agrobacterium,knockdown/out
3355758.pdf,10.3389/fpls.2012.00039,solanum lycopersicum,transgenic rootstock,increased resistance to xylella fastidiosa,ppgip protein detected in scion leaves; reduced disease effects,,disease resistance,pgip,,unknown,modification
3371024.pdf,10.1371/journal.pone.0038718,nicotiana tabacum,agrobacterium-mediated transformation with rbcs signal peptide,glyphosate tolerance,fresh weight 0.2 g/50 plants; survival rate 90%,camv 35s promoter,herbicide resistance,am79 aroa,,agrobacterium,modification
3376126.pdf,10.1371/journal.pone.0039065,withania somnifera,genetic modification,reorganization of intermediate filament network,"form factor increased from 0.29 ± 0.01 (control) to 0.39 ± 0.02 (wfa treated); vimentin phosphorylation increased by 2.5, 5.9, and 7.2 fold at 30, 60, and 180 minutes respectively",,"gene expression, cell motility, cell proliferation, apoptosis",vimentin,,unknown,modification
3402408.pdf,10.1371/journal.pone.0041570,triticum aestivum,ems-induced point mutation,"variation in spike development, heading date, and flowering date",mutation frequency 1/47 kb; 31 novel alleles identified | 32% plant height variants; 7% spike morphology mutations | 7% of mutants showed delayed heading | 9 silent mutations identified,,"above-ground biomass property, flowering, gene expression, plant transformation",ppd-d1,,unknown,mutation
3402674.pdf,10.1007/s11103-012-9930-1,oryza sativa,rna interference knockdown,reduced growth under fe(iii)cl3 conditions,"shoot length: wt = 5.5 cm, knockdown = 3.2 cm (p < 0.01); root length: wt = 4.8 cm, knockdown = 3.1 cm (p < 0.01)",osysl16 promoter,"iron uptake, mineral nutrition, plant transformation, disease resistance",osysl16,,unknown,knockdown/out
3411467.pdf,10.1371/journal.pone.0041979,nicotiana tabacum,agrobacterium-mediated overexpression,"increased photosynthetic efficiency, altered thylakoid structure",80% increase in bound polyamines; 3-fold higher sensitivity of qe to lef | 4-fold increase in tgase activity | bound spd increased 80%; bound spm increased 80%; ka increased 2-fold; qe sensitivity increased 3-fold,,"photosynthesis, above-ground biomass property, gene expression",tgz (transglutaminase),,agrobacterium,overexpression
3421994.pdf,10.1093/jxb/ers142,oryza sativa,deletion mutant,altered leaf morphology,intervernal minor vein distance: 91.2–196.6 μm; intervernal major vein distance: 105–205 μm; leaf thickness at major vein: 233.0–233.0 μm | vein density: 3.7–6.1 veins/mm | mesophyll cell size: small and highly conserved | mean interveinal minor vein distance: 91.2-196.6 µm; mean minor vein width: 41.9 ± 1.8 µm; mean major vein width: 104.6 ± 8.7 µm; leaf thickness at major vein: 133.5 ± 8.8 µm,,"leaf property, leaf yield, photosynthesis",ospnh1,,unknown,modification
3424292.pdf,10.1371/journal.pone.0042621,solanum lycopersicum,agrobacterium-mediated overexpression,organ size reduction,"organ size reduction: fruits, flowers, leaves, stems, roots; reduced cell layers in pericarp | fruit weight decreased; organ size decreased",camv 35s,"above-ground biomass property, leaf property, root property, fruit property",ddb1,,agrobacterium,overexpression
3431822.pdf,10.3390/ijms13089673,picea abies,quickchange site-directed mutagenesis,enzyme activity,activity decreased with cys 170 arg; activity decreased with cys 170 ser | relative activity: 37%; substrate concentration: 0.8 mm; incubation time: 30 minutes; optimum ph: 8; optimum temperature: 30 °c,,gene expression,ppchs,,unknown,modification
3437269.pdf,10.1155/2012/580857,coffea arabica,agrobacterium-mediated transformation,transient expression of gus gene,increased gus expression in somatic embryos; higher expression in torpedo stage | 70% resistant events out of 54 tested | expression of antisense acc oxidase gene | transformed tissue resistant to 25 mg/l hygromycin | 70% resistant under greenhouse conditions,camv35s | chemicals,"gene expression, plant transformation",camv35s,,agrobacterium,modification
3440606.pdf,10.3389/fpls.2012.00212,zea mays,mu killer-mediated silencing,silencing of mudr/mu transposons,77% silencing effectiveness; 50% purple kernels; 1.8 kb antisense transcript; 1.0 kb sense transcript,tira region,"gene expression, disease resistance",mudra,,unknown,knockdown/out
3441267.pdf,10.1186/1746-4811-8-27,gossypium hirsutum,agrobacterium-mediated virus-induced gene silencing (vigs),leaf yellowing (chlorophyll loss),81% silencing efficiency; 69% silencing efficiency | comparable expression efficiency,,"gene expression, leaf property",chli,,agrobacterium,knockdown/out
3460774.pdf,10.4137/ebo.s10159,arabidopsis thaliana,crispr/cas9 knockout,increased lipid accumulation,lipid content increased by 20%; fatty acid synthesis upregulated by 15%,camv 35s,"biofuel precursors, lipid biosynthesis",acc,,crispr/cas9,knockdown/out
3467296.pdf,10.1093/jxb/ers227,arabidopsis thaliana,overexpression using cauliflower mosaic virus (camv) 35s promoter,dwarfism; de-etiolation; reduced leaf elongation,hypocotyl length in dark: 10 mm; chlorophyll content: 2.5 μg/mg fw,cauliflower mosaic virus (camv) 35s promoter,"above-ground biomass property, dwarfism, br biosynthesis regulation",abs1,,unknown,overexpression
3479025.pdf,10.1186/1471-2229-12-118,tamarix androssowii,agrobacterium-mediated transformation,abiotic stress tolerance,salt stress tolerance; 0.6% nacl; improved growth; salt stress tolerance; 0.8% nacl; improved growth | heat stress tolerance; improved; oxidative stress tolerance; improved; osmotic stress tolerance; improved | expression of taeif5a1; activated | soluble protein content; increased | sod activity; increased; pod activity; increased | electrolyte leakage; decreased | chlorophyll content; increased | increased protein levels; improved stress tolerance | binding to w-box motif; activated taeif5a1 expression | similar expression patterns under stress | increased height; improved stress tolerance,,"abiotic stress tolerance, protein synthesis regulation, stress response",taeif5a1,,agrobacterium,modification
3485258.pdf,10.1371/journal.pone.0048138,arabidopsis thaliana,agrobacterium-mediated overexpression,"dwarf phenotype, enhanced abiotic stress tolerance","hypocotyl elongation reduction: 49%, 33%, 41%, 39%; stress tolerance: increased | nf-ya2: 0.61-fold; nf-ya3: 0.58-fold; nf-ya5: 0.51-fold; nf-ya10: 0.50-fold | hypocotyl elongation reduction: 49% (nf-ya2); 33% (nf-ya3); 41% (nf-ya7); 39% (nf-ya10)",camv 35s promoter,"above-ground biomass property, disease resistance, drought tolerance, stress tolerance","nf-ya2, nf-ya3, nf-ya5, nf-ya7, nf-ya10",,agrobacterium,overexpression
3487460.pdf,10.1371/journal.pone.0048285,cyanothece sp. atcc 51142,overexpression via agrobacterium-mediated transformation,enhanced production of oxaloacetate,53.00; 66.00,,"photosynthesis, carbon capture",l-aspartate oxidase,,agrobacterium,overexpression
3517552.pdf,10.1371/journal.pone.0051388,arabidopsis thaliana,rnai knockdown,cell cycle arrest,increase in cells at prophase; increase in cells at prometaphase; increase in cells at metaphase; increase in cells at anaphase | no significant effect on mitotic stages,apetala3 (ap3) promoter fragment | pistillata (pi) promoter fragment,"cell division, mitosis",cenpc,,rnai,modification
3522709.pdf,10.1371/journal.pone.0051763,pepper,agrobacterium-mediated transformation,increased cw-inv activity,higher cw-inv mrna and enzyme activity relative to xcv wild type | higher prq mrna abundance | lower rbcs mrna abundance | higher pti5 mrna abundance | higher acre31 mrna abundance | 2-fold increase; 50% increase | 3-fold increase; 16- to 18-fold increase,camv 35s,"gene expression, disease resistance",cw-inv,,agrobacterium,modification
3528034.pdf,10.1093/jxb/ers328,arabidopsis thaliana,anthocyanin biosynthesis mutants,"biomass accumulation, chlorophyll levels, carotenoid production",biomass accumulation: tt3 - 8.88 mg; tt4 - 5.92 g; tt5 - 5.92 g; tt6 - 5.92 g; tt7 - 5.92 g; tt18 - 5.92 g; ler - 5.92 g; col - 5.92 g; chlorophyll levels: tt3 - 2.5 mg/g; tt4 - 3.0 mg/g; tt5 - 2.8 mg/g; tt6 - 1.8 mg/g; tt7 - 1.9 mg/g; tt18 - 2.2 mg/g; ler - 2.6 mg/g; col - 2.8 mg/g; carotenoid production: tt3 - 0.12 mg/g; tt4 - 0.08 mg/g; tt5 - 0.10 mg/g; tt6 - 0.06 mg/g; tt7 - 0.06 mg/g; tt18 - 0.05 mg/g; col - 0.06 mg/g,,"above-ground biomass property, above-ground biomass yield, leaf property, leaf yield, photosynthesis, plant transformation","tt3, tt4, tt5, tt6, tt7, tt18",,unknown,modification
3538541.pdf,10.1371/journal.pone.0053467,medicago truncatula,overexpression via transgenic approach,early flowering,average number of days after germination to flowering: 25.3 ± 0.26 days; node count at flowering: 6.6 ± 0.26 nodes,,"flowering, above-ground biomass property",fta1,,unknown,overexpression
3541184.pdf,10.1371/journal.pone.0053427,arabidopsis thaliana,crispr/cas9 knockout,increased oxidative stress resistance,oxidative stress resistance increased by 30%; nrf2 expression levels increased by 25%,,"photosynthesis, disease resistance",nrf2,,crispr/cas9,knockdown/out
3541260.pdf,10.1186/1471-2229-12-230,oryza sativa,γ-irradiation,amylose deficiency,amylose content reduced from 23.0% to 6.9%; amylopectin increased from 53% to 65%,,"disease resistance, above-ground biomass property",gbssi,,unknown,modification
